2023-10-13T17:57:33.370Z :: consuming   69.8 MiB


2023-10-13T17:57:33.871Z :: consuming   66.9 MiB


2023-10-13T17:57:34.371Z :: consuming   66.9 MiB


2023-10-13T17:57:34.872Z :: consuming   66.9 MiB


2023-10-13T17:57:35.372Z :: consuming   66.9 MiB


2023-10-13T17:57:35.873Z :: consuming   66.9 MiB


2023-10-13T17:57:36.373Z :: consuming   66.9 MiB


2023-10-13T17:57:36.873Z :: consuming   66.9 MiB


2023-10-13T17:57:37.373Z :: consuming   66.9 MiB


2023-10-13T17:57:37.874Z :: consuming   67.0 MiB


2023-10-13T17:57:40.713Z :: consuming   78.4 MiB


2023-10-13T17:57:41.213Z :: consuming   78.4 MiB


2023-10-13T17:57:41.713Z :: consuming   78.4 MiB


2023-10-13T17:57:42.213Z :: consuming   78.4 MiB


2023-10-13T17:57:42.714Z :: consuming   78.5 MiB


2023-10-13T17:57:43.214Z :: consuming   78.5 MiB


2023-10-13T17:57:43.714Z :: consuming   78.5 MiB


2023-10-13T17:57:44.214Z :: consuming   78.5 MiB


2023-10-13T17:57:44.715Z :: consuming   78.7 MiB


2023-10-13T17:57:45.215Z :: consuming   78.7 MiB


2023-10-13T17:57:45.715Z :: consuming   78.7 MiB


2023-10-13T17:57:46.217Z :: consuming   78.7 MiB


2023-10-13T17:57:46.717Z :: consuming   78.7 MiB


2023-10-13T17:57:47.218Z :: consuming   78.7 MiB


2023-10-13T17:57:47.719Z :: consuming   78.7 MiB


2023-10-13T17:57:48.220Z :: consuming   78.7 MiB


2023-10-13T17:57:48.721Z :: consuming   65.5 MiB


2023-10-13T17:57:49.221Z :: consuming   64.5 MiB


2023-10-13T17:57:49.722Z :: consuming   64.5 MiB


2023-10-13T17:57:50.223Z :: consuming   64.5 MiB


2023-10-13T17:57:50.724Z :: consuming   64.5 MiB


2023-10-13T17:57:51.223Z :: consuming   64.5 MiB


2023-10-13T17:57:51.724Z :: consuming   64.5 MiB


2023-10-13T17:57:52.224Z :: consuming   64.5 MiB


